REF_DATE,GEO,National Occupational Classification,Job vacancy characteristics,Statistics,VALUE
2022-01,Alberta,"Total, all occupations",Bachelor's degree,Job vacancies,6840
2022-04,Alberta,"Total, all occupations",Bachelor's degree,Job vacancies,6645
2022-07,Alberta,"Total, all occupations",Bachelor's degree,Job vacancies,7380
2022-10,Alberta,"Total, all occupations",Bachelor's degree,Job vacancies,7200
2023-01,Alberta,"Total, all occupations",Bachelor's degree,Job vacancies,6280
2023-04,Alberta,"Total, all occupations",Bachelor's degree,Job vacancies,6580
2023-07,Alberta,"Total, all occupations",Bachelor's degree,Job vacancies,6240
2022-01,Alberta,"Total, all occupations",Less than 15 days,Job vacancies,22690
2022-01,Alberta,"Total, all occupations",15 to 29 days,Job vacancies,18380
2022-01,Alberta,"Total, all occupations",30 to 59 days,Job vacancies,15660
2022-01,Alberta,"Total, all occupations",60 to 89 days,Job vacancies,6870
2022-01,Alberta,"Total, all occupations",90 days or more,Job vacancies,24565
2022-04,Alberta,"Total, all occupations",Less than 15 days,Job vacancies,25785
2022-04,Alberta,"Total, all occupations",15 to 29 days,Job vacancies,23420
2022-04,Alberta,"Total, all occupations",30 to 59 days,Job vacancies,21955
2022-04,Alberta,"Total, all occupations",60 to 89 days,Job vacancies,8380
2022-04,Alberta,"Total, all occupations",90 days or more,Job vacancies,28205
2022-07,Alberta,"Total, all occupations",Less than 15 days,Job vacancies,22105
2022-07,Alberta,"Total, all occupations",15 to 29 days,Job vacancies,19875
2022-07,Alberta,"Total, all occupations",30 to 59 days,Job vacancies,20190
2022-07,Alberta,"Total, all occupations",60 to 89 days,Job vacancies,10405
2022-07,Alberta,"Total, all occupations",90 days or more,Job vacancies,30805
2022-10,Alberta,"Total, all occupations",Less than 15 days,Job vacancies,18710
2022-10,Alberta,"Total, all occupations",15 to 29 days,Job vacancies,18700
2022-10,Alberta,"Total, all occupations",30 to 59 days,Job vacancies,19030
2022-10,Alberta,"Total, all occupations",60 to 89 days,Job vacancies,9095
2022-10,Alberta,"Total, all occupations",90 days or more,Job vacancies,27675
2023-01,Alberta,"Total, all occupations",Less than 15 days,Job vacancies,19210
2023-01,Alberta,"Total, all occupations",15 to 29 days,Job vacancies,17390
2023-01,Alberta,"Total, all occupations",30 to 59 days,Job vacancies,17135
2023-01,Alberta,"Total, all occupations",60 to 89 days,Job vacancies,6905
2023-01,Alberta,"Total, all occupations",90 days or more,Job vacancies,26015
2023-04,Alberta,"Total, all occupations",Less than 15 days,Job vacancies,24165
2023-04,Alberta,"Total, all occupations",15 to 29 days,Job vacancies,18065
2023-04,Alberta,"Total, all occupations",30 to 59 days,Job vacancies,17000
2023-04,Alberta,"Total, all occupations",60 to 89 days,Job vacancies,7840
2023-04,Alberta,"Total, all occupations",90 days or more,Job vacancies,27075
2023-07,Alberta,"Total, all occupations",Less than 15 days,Job vacancies,22345
2023-07,Alberta,"Total, all occupations",15 to 29 days,Job vacancies,16895
2023-07,Alberta,"Total, all occupations",30 to 59 days,Job vacancies,15285
2023-07,Alberta,"Total, all occupations",60 to 89 days,Job vacancies,8585
2023-07,Alberta,"Total, all occupations",90 days or more,Job vacancies,26725
