"REF_DATE","GEO","National Occupational Classification","Job vacancy characteristics","Statistics","VALUE"
"2019-10","Canada","Total, all occupations","Full-time","Job vacancies","359910"
"2019-10","Canada","Total, all occupations","Part-time","Job vacancies","148680"
"2019-10","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","2905"
"2019-10","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","1785"
"2019-10","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","1435"
"2019-10","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","420"
"2019-10","Nova Scotia","Total, all occupations","Full-time","Job vacancies","7660"
"2019-10","Nova Scotia","Total, all occupations","Part-time","Job vacancies","4190"
"2019-10","New Brunswick","Total, all occupations","Full-time","Job vacancies","6535"
"2019-10","New Brunswick","Total, all occupations","Part-time","Job vacancies","2755"
"2019-10","Quebec","Total, all occupations","Full-time","Job vacancies","95880"
"2019-10","Quebec","Total, all occupations","Part-time","Job vacancies","30855"
"2019-10","Ontario","Total, all occupations","Full-time","Job vacancies","128500"
"2019-10","Ontario","Total, all occupations","Part-time","Job vacancies","62530"
"2019-10","Manitoba","Total, all occupations","Full-time","Job vacancies","9545"
"2019-10","Manitoba","Total, all occupations","Part-time","Job vacancies","5755"
"2019-10","Saskatchewan","Total, all occupations","Full-time","Job vacancies","7545"
"2019-10","Saskatchewan","Total, all occupations","Part-time","Job vacancies","2885"
"2019-10","Alberta","Total, all occupations","Full-time","Job vacancies","34555"
"2019-10","Alberta","Total, all occupations","Part-time","Job vacancies","10910"
"2019-10","British Columbia","Total, all occupations","Full-time","Job vacancies","63965"
"2019-10","British Columbia","Total, all occupations","Part-time","Job vacancies","26175"
"2019-10","Yukon","Total, all occupations","Full-time","Job vacancies","735"
"2019-10","Yukon","Total, all occupations","Part-time","Job vacancies","180"
"2019-10","Northwest Territories","Total, all occupations","Full-time","Job vacancies","380"
"2019-10","Northwest Territories","Total, all occupations","Part-time","Job vacancies","150"
"2019-10","Nunavut","Total, all occupations","Full-time","Job vacancies","275"
"2019-10","Nunavut","Total, all occupations","Part-time","Job vacancies",""
"2020-01","Canada","Total, all occupations","Full-time","Job vacancies","380870"
"2020-01","Canada","Total, all occupations","Part-time","Job vacancies","131890"
"2020-01","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","3030"
"2020-01","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","1305"
"2020-01","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","1285"
"2020-01","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","400"
"2020-01","Nova Scotia","Total, all occupations","Full-time","Job vacancies","7275"
"2020-01","Nova Scotia","Total, all occupations","Part-time","Job vacancies","2895"
"2020-01","New Brunswick","Total, all occupations","Full-time","Job vacancies","6800"
"2020-01","New Brunswick","Total, all occupations","Part-time","Job vacancies","2200"
"2020-01","Quebec","Total, all occupations","Full-time","Job vacancies","97980"
"2020-01","Quebec","Total, all occupations","Part-time","Job vacancies","30435"
"2020-01","Ontario","Total, all occupations","Full-time","Job vacancies","135915"
"2020-01","Ontario","Total, all occupations","Part-time","Job vacancies","51445"
"2020-01","Manitoba","Total, all occupations","Full-time","Job vacancies","11005"
"2020-01","Manitoba","Total, all occupations","Part-time","Job vacancies","5990"
"2020-01","Saskatchewan","Total, all occupations","Full-time","Job vacancies","8435"
"2020-01","Saskatchewan","Total, all occupations","Part-time","Job vacancies","3190"
"2020-01","Alberta","Total, all occupations","Full-time","Job vacancies","39255"
"2020-01","Alberta","Total, all occupations","Part-time","Job vacancies","9095"
"2020-01","British Columbia","Total, all occupations","Full-time","Job vacancies","68570"
"2020-01","British Columbia","Total, all occupations","Part-time","Job vacancies","24555"
"2020-01","Yukon","Total, all occupations","Full-time","Job vacancies","595"
"2020-01","Yukon","Total, all occupations","Part-time","Job vacancies","250"
"2020-01","Northwest Territories","Total, all occupations","Full-time","Job vacancies","345"
"2020-01","Northwest Territories","Total, all occupations","Part-time","Job vacancies","80"
"2020-01","Nunavut","Total, all occupations","Full-time","Job vacancies","385"
"2020-01","Nunavut","Total, all occupations","Part-time","Job vacancies","45"
"2020-10","Canada","Total, all occupations","Full-time","Job vacancies","382480"
"2020-10","Canada","Total, all occupations","Part-time","Job vacancies","177735"
"2020-10","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","2740"
"2020-10","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","2310"
"2020-10","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","1430"
"2020-10","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","620"
"2020-10","Nova Scotia","Total, all occupations","Full-time","Job vacancies","8320"
"2020-10","Nova Scotia","Total, all occupations","Part-time","Job vacancies","4710"
"2020-10","New Brunswick","Total, all occupations","Full-time","Job vacancies","8135"
"2020-10","New Brunswick","Total, all occupations","Part-time","Job vacancies","4240"
"2020-10","Quebec","Total, all occupations","Full-time","Job vacancies","108265"
"2020-10","Quebec","Total, all occupations","Part-time","Job vacancies","40195"
"2020-10","Ontario","Total, all occupations","Full-time","Job vacancies","137460"
"2020-10","Ontario","Total, all occupations","Part-time","Job vacancies","72755"
"2020-10","Manitoba","Total, all occupations","Full-time","Job vacancies","10995"
"2020-10","Manitoba","Total, all occupations","Part-time","Job vacancies","7205"
"2020-10","Saskatchewan","Total, all occupations","Full-time","Job vacancies","7105"
"2020-10","Saskatchewan","Total, all occupations","Part-time","Job vacancies","3425"
"2020-10","Alberta","Total, all occupations","Full-time","Job vacancies","30110"
"2020-10","Alberta","Total, all occupations","Part-time","Job vacancies","14585"
"2020-10","British Columbia","Total, all occupations","Full-time","Job vacancies","66570"
"2020-10","British Columbia","Total, all occupations","Part-time","Job vacancies","27265"
"2020-10","Yukon","Total, all occupations","Full-time","Job vacancies","560"
"2020-10","Yukon","Total, all occupations","Part-time","Job vacancies","225"
"2020-10","Northwest Territories","Total, all occupations","Full-time","Job vacancies","475"
"2020-10","Northwest Territories","Total, all occupations","Part-time","Job vacancies","130"
"2020-10","Nunavut","Total, all occupations","Full-time","Job vacancies","310"
"2020-10","Nunavut","Total, all occupations","Part-time","Job vacancies",""
"2021-01","Canada","Total, all occupations","Full-time","Job vacancies","419850"
"2021-01","Canada","Total, all occupations","Part-time","Job vacancies","133630"
"2021-01","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","2520"
"2021-01","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","1225"
"2021-01","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","1090"
"2021-01","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","380"
"2021-01","Nova Scotia","Total, all occupations","Full-time","Job vacancies","8975"
"2021-01","Nova Scotia","Total, all occupations","Part-time","Job vacancies","3805"
"2021-01","New Brunswick","Total, all occupations","Full-time","Job vacancies","7300"
"2021-01","New Brunswick","Total, all occupations","Part-time","Job vacancies","2400"
"2021-01","Quebec","Total, all occupations","Full-time","Job vacancies","119385"
"2021-01","Quebec","Total, all occupations","Part-time","Job vacancies","27480"
"2021-01","Ontario","Total, all occupations","Full-time","Job vacancies","145805"
"2021-01","Ontario","Total, all occupations","Part-time","Job vacancies","50580"
"2021-01","Manitoba","Total, all occupations","Full-time","Job vacancies","13390"
"2021-01","Manitoba","Total, all occupations","Part-time","Job vacancies","4115"
"2021-01","Saskatchewan","Total, all occupations","Full-time","Job vacancies","8525"
"2021-01","Saskatchewan","Total, all occupations","Part-time","Job vacancies","3565"
"2021-01","Alberta","Total, all occupations","Full-time","Job vacancies","39350"
"2021-01","Alberta","Total, all occupations","Part-time","Job vacancies","11040"
"2021-01","British Columbia","Total, all occupations","Full-time","Job vacancies","71690"
"2021-01","British Columbia","Total, all occupations","Part-time","Job vacancies","28680"
"2021-01","Yukon","Total, all occupations","Full-time","Job vacancies","675"
"2021-01","Yukon","Total, all occupations","Part-time","Job vacancies","145"
"2021-01","Northwest Territories","Total, all occupations","Full-time","Job vacancies","700"
"2021-01","Northwest Territories","Total, all occupations","Part-time","Job vacancies","155"
"2021-01","Nunavut","Total, all occupations","Full-time","Job vacancies","450"
"2021-01","Nunavut","Total, all occupations","Part-time","Job vacancies","65"
"2021-04","Canada","Total, all occupations","Full-time","Job vacancies","543945"
"2021-04","Canada","Total, all occupations","Part-time","Job vacancies","187960"
"2021-04","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","5055"
"2021-04","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","1950"
"2021-04","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","2425"
"2021-04","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","815"
"2021-04","Nova Scotia","Total, all occupations","Full-time","Job vacancies","11155"
"2021-04","Nova Scotia","Total, all occupations","Part-time","Job vacancies","4195"
"2021-04","New Brunswick","Total, all occupations","Full-time","Job vacancies","10660"
"2021-04","New Brunswick","Total, all occupations","Part-time","Job vacancies","3710"
"2021-04","Quebec","Total, all occupations","Full-time","Job vacancies","153265"
"2021-04","Quebec","Total, all occupations","Part-time","Job vacancies","40880"
"2021-04","Ontario","Total, all occupations","Full-time","Job vacancies","189900"
"2021-04","Ontario","Total, all occupations","Part-time","Job vacancies","74630"
"2021-04","Manitoba","Total, all occupations","Full-time","Job vacancies","15620"
"2021-04","Manitoba","Total, all occupations","Part-time","Job vacancies","6210"
"2021-04","Saskatchewan","Total, all occupations","Full-time","Job vacancies","12185"
"2021-04","Saskatchewan","Total, all occupations","Part-time","Job vacancies","4805"
"2021-04","Alberta","Total, all occupations","Full-time","Job vacancies","51760"
"2021-04","Alberta","Total, all occupations","Part-time","Job vacancies","17290"
"2021-04","British Columbia","Total, all occupations","Full-time","Job vacancies","89295"
"2021-04","British Columbia","Total, all occupations","Part-time","Job vacancies","32970"
"2021-04","Yukon","Total, all occupations","Full-time","Job vacancies","1165"
"2021-04","Yukon","Total, all occupations","Part-time","Job vacancies","240"
"2021-04","Northwest Territories","Total, all occupations","Full-time","Job vacancies","945"
"2021-04","Northwest Territories","Total, all occupations","Part-time","Job vacancies","165"
"2021-04","Nunavut","Total, all occupations","Full-time","Job vacancies","515"
"2021-04","Nunavut","Total, all occupations","Part-time","Job vacancies",""
"2021-07","Canada","Total, all occupations","Full-time","Job vacancies","673110"
"2021-07","Canada","Total, all occupations","Part-time","Job vacancies","239470"
"2021-07","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","4955"
"2021-07","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","2165"
"2021-07","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","2410"
"2021-07","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","860"
"2021-07","Nova Scotia","Total, all occupations","Full-time","Job vacancies","13130"
"2021-07","Nova Scotia","Total, all occupations","Part-time","Job vacancies","5030"
"2021-07","New Brunswick","Total, all occupations","Full-time","Job vacancies","11920"
"2021-07","New Brunswick","Total, all occupations","Part-time","Job vacancies","3425"
