REF_DATE,GEO,National Occupational Classification,Job vacancy characteristics,VALUE
2022-01,Canada,Health occupations [3],"Minimum experience level sought, all levels",82830.0
2022-01,Canada,Health occupations [3],"Minimum experience level sought, all levels",100.0
2022-01,Canada,Health occupations [3],"Minimum experience level sought, all levels",28.95
2022-04,Canada,Health occupations [3],"Minimum experience level sought, all levels",82130.0
2022-04,Canada,Health occupations [3],"Minimum experience level sought, all levels",100.0
2022-04,Canada,Health occupations [3],"Minimum experience level sought, all levels",29.75
2022-07,Canada,Health occupations [3],"Minimum experience level sought, all levels",96620.0
2022-07,Canada,Health occupations [3],"Minimum experience level sought, all levels",100.0
2022-07,Canada,Health occupations [3],"Minimum experience level sought, all levels",29.4
2022-10,Canada,Health occupations [3],"Minimum experience level sought, all levels",92515.0
2022-10,Canada,Health occupations [3],"Minimum experience level sought, all levels",100.0
2022-10,Canada,Health occupations [3],"Minimum experience level sought, all levels",29.85
2023-01,Canada,Health occupations [3],"Minimum experience level sought, all levels",92180.0
2023-01,Canada,Health occupations [3],"Minimum experience level sought, all levels",100.0
2023-01,Canada,Health occupations [3],"Minimum experience level sought, all levels",30.35
2023-04,Canada,Health occupations [3],"Minimum experience level sought, all levels",89955.0
2023-04,Canada,Health occupations [3],"Minimum experience level sought, all levels",100.0
2023-04,Canada,Health occupations [3],"Minimum experience level sought, all levels",30.9
2023-07,Canada,Health occupations [3],"Minimum experience level sought, all levels",91930.0
2023-07,Canada,Health occupations [3],"Minimum experience level sought, all levels",100.0
2023-07,Canada,Health occupations [3],"Minimum experience level sought, all levels",31.05
2022-01,Canada,Management occupations [0],"Minimum experience level sought, all levels",41645.0
2022-01,Canada,Management occupations [0],"Minimum experience level sought, all levels",100.0
2022-01,Canada,Management occupations [0],"Minimum experience level sought, all levels",40.1
2022-04,Canada,Management occupations [0],"Minimum experience level sought, all levels",46935.0
2022-04,Canada,Management occupations [0],"Minimum experience level sought, all levels",100.0
2022-04,Canada,Management occupations [0],"Minimum experience level sought, all levels",39.45
2022-07,Canada,Management occupations [0],"Minimum experience level sought, all levels",44580.0
2022-07,Canada,Management occupations [0],"Minimum experience level sought, all levels",100.0
2022-07,Canada,Management occupations [0],"Minimum experience level sought, all levels",39.3
2022-10,Canada,Management occupations [0],"Minimum experience level sought, all levels",41025.0
2022-10,Canada,Management occupations [0],"Minimum experience level sought, all levels",100.0
2022-10,Canada,Management occupations [0],"Minimum experience level sought, all levels",41.05
2023-01,Canada,Management occupations [0],"Minimum experience level sought, all levels",39585.0
2023-01,Canada,Management occupations [0],"Minimum experience level sought, all levels",100.0
2023-01,Canada,Management occupations [0],"Minimum experience level sought, all levels",40.7
2023-04,Canada,Management occupations [0],"Minimum experience level sought, all levels",37965.0
2023-04,Canada,Management occupations [0],"Minimum experience level sought, all levels",100.0
2023-04,Canada,Management occupations [0],"Minimum experience level sought, all levels",41.35
2023-07,Canada,Management occupations [0],"Minimum experience level sought, all levels",35185.0
2023-07,Canada,Management occupations [0],"Minimum experience level sought, all levels",100.0
2023-07,Canada,Management occupations [0],"Minimum experience level sought, all levels",40.6
